# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe1
# Reduced formula:  Fe
# space group: (Fm-3m), space number:  (225)
# abc:  2.584865   2.584866   2.584864
# angles: 59.999990  59.999984  60.000004
# sites: 1
# mp-150
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.375 Rnm= 1.413 K  shell
# Pot 1 Z=26 Rmt= 1.384 Rnm= 1.423
# Gam_ch=1.309E+00 H-L exch
# Mu=-1.168E+01 kf=2.002E+00 Vint=-2.695E+01 Rs_int= 1.812
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5849
#           2       0.00000     23.03      6.00     2   3.6555
#           3       0.00000     11.47     48.00     3   3.8773
#           4       0.00000     10.90     48.00     3   4.4126
#           5       0.00000     55.69     24.00     2   4.4771
#           6       0.00000     11.17     48.00     3   4.8234
#           7       0.00000     28.74     96.00     3   4.8234
#           8       0.00000     19.08     12.00     2   5.1697
#           9       0.00000      8.94     12.00     3   5.1697
#          10       0.00000     51.71     24.00     3   5.1697
#          11       0.00000     10.69     12.00     4   5.1697
#          12       0.00000      4.14     12.00     4   5.1697
#          14       0.00000     41.76     12.00     4   5.1697
#          15       0.00000      4.91     48.00     4   5.1697
#          17       0.00000      5.31     48.00     3   5.3588
#          18       0.00000      5.39     48.00     3   5.3588
#          19       0.00000      6.42     48.00     3   5.7696
#          20       0.00000     28.16     24.00     2   5.7799
#    18/  20 paths used
#  xsedge+50, used to normalize mu           3.2081E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7203.242     70.697   4.650  1.14655E+00  9.91734E-01  1.53574E-01
    7205.023     72.479   4.700  1.17176E+00  9.91761E-01  1.78521E-01
    7206.824     74.279   4.750  1.18582E+00  9.91788E-01  1.92409E-01
    7208.643     76.098   4.800  1.18568E+00  9.91815E-01  1.92214E-01
    7210.481     77.936   4.850  1.16954E+00  9.91757E-01  1.76272E-01
    7212.338     79.794   4.900  1.13840E+00  9.91698E-01  1.45454E-01
    7214.215     81.670   4.950  1.09498E+00  9.91640E-01  1.02465E-01
    7216.110     83.566   5.000  1.04358E+00  9.91581E-01  5.15544E-02
    7218.025     85.480   5.050  9.88773E-01  9.91451E-01 -2.65556E-03
    7219.958     87.414   5.100  9.36650E-01  9.91320E-01 -5.42371E-02
    7221.911     89.366   5.150  8.91974E-01  9.91189E-01 -9.84595E-02
    7223.883     91.338   5.200  8.58219E-01  9.91059E-01 -1.31866E-01
    7225.873     93.329   5.250  8.37170E-01  9.90563E-01 -1.52336E-01
    7227.883     95.338   5.300  8.29333E-01  9.90068E-01 -1.59696E-01
    7229.912     97.367   5.350  8.33116E-01  9.89572E-01 -1.55514E-01
    7231.960     99.415   5.400  8.45757E-01  9.89077E-01 -1.42519E-01
    7234.027    101.482   5.450  8.64178E-01  9.88455E-01 -1.23665E-01
    7236.113    103.568   5.500  8.84425E-01  9.87833E-01 -1.02968E-01
    7238.218    105.673   5.550  9.03355E-01  9.87211E-01 -8.35565E-02
    7240.342    107.797   5.600  9.18740E-01  9.86589E-01 -6.76524E-02
    7242.485    109.940   5.650  9.29426E-01  9.85835E-01 -5.62954E-02
    7244.647    112.102   5.700  9.35685E-01  9.85081E-01 -4.93410E-02
    7246.828    114.284   5.750  9.39199E-01  9.84326E-01 -4.51171E-02
    7249.029    116.484   5.800  9.42691E-01  9.83572E-01 -4.09092E-02
    7251.248    118.703   5.850  9.49333E-01  9.82648E-01 -3.33726E-02
    7253.486    120.942   5.900  9.62659E-01  9.81724E-01 -1.91179E-02
    7255.744    123.199   5.950  9.85143E-01  9.80800E-01  4.36007E-03
    7258.020    125.475   6.000  1.01771E+00  9.79876E-01  3.80212E-02
    7260.316    127.771   6.050  1.05947E+00  9.78889E-01  8.10748E-02
    7262.630    130.085   6.100  1.10662E+00  9.77902E-01  1.29665E-01
    7264.964    132.419   6.150  1.15324E+00  9.76916E-01  1.77846E-01
    7267.317    134.772   6.200  1.19197E+00  9.75929E-01  2.18168E-01
    7269.688    137.143   6.250  1.21511E+00  9.74942E-01  2.42841E-01
    7272.079    139.534   6.300  1.21614E+00  9.73955E-01  2.45184E-01
    7274.489    141.944   6.350  1.19108E+00  9.72969E-01  2.21089E-01
    7276.918    144.373   6.400  1.13969E+00  9.71982E-01  1.70209E-01
    7279.366    146.821   6.450  1.06602E+00  9.70995E-01  9.65643E-02
    7281.833    149.288   6.500  9.78235E-01  9.70009E-01  8.36971E-03
    7284.319    151.774   6.550  8.87027E-01  9.69048E-01 -8.35674E-02
    7286.824    154.279   6.600  8.06122E-01  9.68087E-01 -1.65244E-01
    7289.348    156.803   6.650  7.47215E-01  9.67127E-01 -2.24669E-01
    7291.891    159.346   6.700  7.18636E-01  9.66166E-01 -2.53230E-01
    7294.453    161.908   6.750  7.23644E-01  9.65206E-01 -2.47460E-01
    7297.034    164.490   6.800  7.59662E-01  9.64245E-01 -2.09866E-01
    7299.635    167.090   6.850  8.18646E-01  9.63284E-01 -1.48576E-01
    7302.254    169.709   6.900  8.88596E-01  9.62324E-01 -7.58391E-02
    7304.892    172.348   6.950  9.55903E-01  9.61363E-01 -5.62402E-03
    7307.550    175.005   7.000  1.00809E+00  9.60403E-01  4.91862E-02
    7310.226    177.682   7.050  1.03616E+00  9.59454E-01  7.92316E-02
    7312.922    180.377   7.100  1.03671E+00  9.58506E-01  8.08926E-02
    7315.637    183.092   7.150  1.01273E+00  9.57558E-01  5.71531E-02
    7318.370    185.826   7.200  9.72617E-01  9.56609E-01  1.66063E-02
    7321.123    188.578   7.250  9.28169E-01  9.55661E-01 -2.85614E-02
    7323.895    191.350   7.300  8.91883E-01  9.54712E-01 -6.53677E-02
    7326.686    194.141   7.350  8.74116E-01  9.53764E-01 -8.29860E-02
    7329.495    196.951   7.400  8.80761E-01  9.52816E-01 -7.51837E-02
    7332.324    199.780   7.450  9.11958E-01  9.51867E-01 -4.17022E-02
    7335.172    202.628   7.500  9.62124E-01  9.50919E-01  1.17260E-02
    7338.039    205.495   7.550  1.02136E+00  9.49923E-01  7.48629E-02
    7340.925    208.381   7.600  1.07709E+00  9.48927E-01  1.34515E-01
    7343.830    211.286   7.650  1.11783E+00  9.47931E-01  1.78586E-01
    7346.755    214.210   7.700  1.13522E+00  9.46934E-01  1.98207E-01
    7349.698    217.153   7.750  1.12574E+00  9.45938E-01  1.89551E-01
    7352.660    220.115   7.800  1.09127E+00  9.44942E-01  1.54495E-01
    7355.641    223.097   7.850  1.03851E+00  9.43946E-01  9.99857E-02
    7358.642    226.097   7.900  9.77228E-01  9.42950E-01  3.62993E-02
    7361.661    229.116   7.950  9.18016E-01  9.41954E-01 -2.53880E-02
    7364.700    232.155   8.000  8.69885E-01  9.40958E-01 -7.54902E-02
    7367.757    235.212   8.050  8.38410E-01  9.39906E-01 -1.07941E-01
    7370.834    238.289   8.100  8.25047E-01  9.38855E-01 -1.21188E-01
    7373.929    241.385   8.150  8.27238E-01  9.37803E-01 -1.17885E-01
    7377.044    244.499   8.200  8.39643E-01  9.36752E-01 -1.03670E-01
    7380.178    247.633   8.250  8.55856E-01  9.35700E-01 -8.53474E-02
    7383.330    250.786   8.300  8.70198E-01  9.34648E-01 -6.89814E-02
    7386.502    253.958   8.350  8.79118E-01  9.33597E-01 -5.83831E-02
    7389.693    257.148   8.400  8.81892E-01  9.32545E-01 -5.43532E-02
    7392.903    260.358   8.450  8.80471E-01  9.31494E-01 -5.48201E-02
    7396.132    263.587   8.500  8.78602E-01  9.30442E-01 -5.57700E-02
    7399.380    266.835   8.550  8.80415E-01  9.29374E-01 -5.27253E-02
    7402.647    270.102   8.600  8.89465E-01  9.28306E-01 -4.18725E-02
    7405.933    273.388   8.650  9.07039E-01  9.27238E-01 -2.17978E-02
    7409.238    276.694   8.700  9.31924E-01  9.26170E-01  6.21682E-03
    7412.563    280.018   8.750  9.60657E-01  9.25102E-01  3.84512E-02
    7415.906    283.361   8.800  9.88390E-01  9.24034E-01  6.96708E-02
    7419.268    286.723   8.850  1.01011E+00  9.22966E-01  9.44441E-02
    7422.649    290.105   8.900  1.02190E+00  9.21898E-01  1.08488E-01
    7426.050    293.505   8.950  1.02183E+00  9.20830E-01  1.09690E-01
    7429.469    296.925   9.000  1.01041E+00  9.19762E-01  9.85505E-02
    7432.908    300.363   9.050  9.90398E-01  9.18734E-01  7.79857E-02
    7436.365    303.821   9.100  9.65739E-01  9.17707E-01  5.23204E-02
    7439.842    307.297   9.150  9.41061E-01  9.16680E-01  2.65838E-02
    7443.338    310.793   9.200  9.20314E-01  9.15653E-01  5.08674E-03
    7446.852    314.308   9.250  9.05908E-01  9.14626E-01 -9.52524E-03
    7450.386    317.841   9.300  8.98303E-01  9.13599E-01 -1.67280E-02
    7453.939    321.394   9.350  8.96127E-01  9.12572E-01 -1.80026E-02
    7457.511    324.966   9.400  8.96746E-01  9.11545E-01 -1.62162E-02
    7461.102    328.557   9.450  8.97121E-01  9.10518E-01 -1.46946E-02
    7464.712    332.167   9.500  8.94693E-01  9.09491E-01 -1.62469E-02
    7468.341    335.796   9.550  8.88047E-01  9.08438E-01 -2.24122E-02
    7471.989    339.444   9.600  8.77244E-01  9.07385E-01 -3.31645E-02
    7475.656    343.111   9.650  8.63847E-01  9.06332E-01 -4.67971E-02
    7479.342    346.797   9.700  8.50486E-01  9.05279E-01 -6.04198E-02
    7483.047    350.502   9.750  8.40177E-01  9.04226E-01 -7.07038E-02
    7486.771    354.227   9.800  8.35571E-01  9.03173E-01 -7.47061E-02
    7490.515    357.970   9.850  8.38329E-01  9.02120E-01 -7.05712E-02
    7494.277    361.732   9.900  8.48741E-01  9.01067E-01 -5.79512E-02
    7498.059    365.514   9.950  8.65674E-01  9.00014E-01 -3.80724E-02
    7501.859    369.314  10.000  8.86831E-01  8.98961E-01 -1.34625E-02
