     8.5500   -4.138777E-02  8.582642E-02  3.719592E+01
     8.6000   -3.078869E-02  8.183503E-02  3.731339E+01
     8.6500   -2.174699E-02  8.191494E-02  3.743041E+01
     8.7000   -1.100405E-02  8.533018E-02  3.756979E+01
     8.7500    3.960536E-03  9.084377E-02  3.774272E+01
     8.8000    2.402138E-02  9.720475E-02  3.794882E+01
     8.8500    4.803378E-02  1.034103E-01  3.818218E+01
     8.9000    7.307036E-02  1.087482E-01  3.843591E+01
     8.9500    9.517278E-02  1.127511E-01  3.870399E+01
     9.0000    1.103872E-01  1.151416E-01  3.898154E+01
     9.0500    1.158913E-01  1.158922E-01  3.926608E+01
     9.1000    1.102762E-01  1.148564E-01  3.955326E+01
     9.1500    9.436095E-02  1.121005E-01  3.984018E+01
     9.2000    7.079492E-02  1.077747E-01  4.012403E+01
     9.2500    4.337970E-02  1.021036E-01  4.040190E+01
     9.3000    1.615322E-02  9.537882E-02  4.067053E+01
     9.3500   -7.507032E-03  8.795528E-02  4.092616E+01
     9.4000   -2.552894E-02  8.024917E-02  4.116445E+01
     9.4500   -3.739425E-02  7.273606E-02  4.138067E+01
     9.5000   -4.396849E-02  6.594159E-02  4.157058E+01
     9.5500   -4.697339E-02  6.029069E-02  4.173396E+01
     9.6000   -4.830472E-02  5.634427E-02  4.187073E+01
     9.6500   -4.972852E-02  5.445979E-02  4.199159E+01
     9.7000   -5.225003E-02  5.466147E-02  4.211336E+01
     9.7500   -5.589331E-02  5.661448E-02  4.225172E+01
     9.8000   -5.977201E-02  5.977236E-02  4.241494E+01
     9.8500   -6.240032E-02  6.357111E-02  4.260372E+01
     9.9000   -6.213571E-02  6.754767E-02  4.281452E+01
     9.9500   -5.762405E-02  7.137216E-02  4.304261E+01
    10.0000   -4.813635E-02  7.483496E-02  4.328358E+01
    10.0500   -3.399804E-02  7.810830E-02  4.353196E+01
    10.1000   -1.560409E-02  8.095875E-02  4.378834E+01
    10.1500    5.735521E-03  8.333387E-02  4.405118E+01
    10.2000    2.818158E-02  8.519902E-02  4.431942E+01
    10.2500    4.957652E-02  8.652662E-02  4.459241E+01
    10.3000    6.769126E-02  8.728856E-02  4.486979E+01
    10.3500    8.048901E-02  8.745136E-02  4.515136E+01
    10.4000    8.638969E-02  8.697412E-02  4.543710E+01
    10.4500    8.451430E-02  8.580884E-02  4.572702E+01
    10.5000    7.487855E-02  8.390269E-02  4.602115E+01
    10.5500    5.849507E-02  8.120176E-02  4.631956E+01
    10.6000    3.734118E-02  7.765565E-02  4.662226E+01
    10.6500    1.416067E-02  7.322241E-02  4.692927E+01
    10.7000   -7.904219E-03  6.787328E-02  4.724061E+01
    10.7500   -2.581441E-02  6.159696E-02  4.755633E+01
    10.8000   -3.719011E-02  5.440296E-02  4.787658E+01
    10.8500   -4.080973E-02  4.632413E-02  4.820178E+01
