PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   4.000  index, nleg, degeneracy, r=  1.8179
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   35.2644    0.0000
    23    4  24.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    0.605972   -0.000001   2 'N     '     1.8179  144.7356    0.0000
   -0.000000   -1.817920   -0.000001   2 'N     '     2.9686   35.2645    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     1.8179  144.7355    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686   35.2644    0.0000
    24    4  24.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972   -1.484320   2 'N     '     1.8179  144.7356  -35.2644
   -1.713950    0.605972   -0.000001   2 'N     '     2.9686  120.0001   35.2644
    0.856973    0.605972    1.484320   2 'N     '     2.9686  144.7356 -120.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179   70.5288  120.0000
    25    4  12.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
    0.856973    0.605972    1.484320   2 'N     '     1.8179  144.7356    0.0000
    0.856973    0.605972   -1.484320   2 'N     '     2.9686  180.0000    0.0000
    0.856973    0.605972    1.484320   2 'N     '     2.9686  144.7356    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    26    4  48.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
   -1.713950    2.423890    0.000000   1 'Fe    '     2.9686   90.0001   30.0000
   -0.856973    3.029860    1.484320   2 'N     '     1.8179  144.7356 -125.2645
   -1.713950    0.605972   -0.000001   2 'N     '     2.9686   90.0001   29.9999
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  144.7356 -125.2645
    27    4  12.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
   -0.000000   -1.817920   -0.000001   2 'N     '     1.8179   35.2645    0.0000
    1.713950   -4.241800   -0.000001   2 'N     '     2.9686  180.0000    0.0000
   -0.000000   -1.817920   -0.000001   2 'N     '     2.9686   35.2645    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     1.8179  180.0000    0.0000
    28    4  24.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
    1.713950   -2.423890    0.000000   1 'Fe    '     2.9686   90.0000    0.0000
    2.570920   -1.817920    1.484320   2 'N     '     1.8179  180.0000    0.0000
    1.713950   -2.423890    0.000000   1 'Fe    '     1.8179   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Fe    '     2.9686  180.0000    0.0000
    29    4  12.000  index, nleg, degeneracy, r=  4.7866
      x           y           z     ipot  label      rleg      beta        eta
